CourseName,Description
CEE 201,"Credit: 3 hours.
Course Description: Introduction to the formulation and solution of civil engineering problems. Major topics: engineering economy, mathematical modeling, and optimization. Application of techniques, including classical optimization, linear and nonlinear programming, network theory, critical path methods, simulation, decision theory, and dynamic programming to a variety of civil engineering problems.
Prerequisite: MATH 231; CS 101; credit or concurrent registration in MATH 225 or MATH 415 or MATH 257."
CHEM 437,"Credit: 3 hours.
Course Description: Laboratory experiments in organic chemistry with emphasis on synthesis, purification and spectroscopic identification of organic compounds.
Prerequisite: CHEM 233 or CHEM 237 and credit or concurrent registration in CHEM 332 or CHEM 436."
ANTH 393/HIST 393/REL 393,
ACE 199,"Credit: 1 to 5 hours.
Course Description: Experimental course on a special topic in agricultural and consumer economics. Topic may not be repeated except in accordance with the Code.
"
ECON 199,"Credit: 0 TO 5 hours.
Course Description: 
"
AE 442,"Credit: 3 hours.
Course Description: Principles of systems engineering as they apply to the design process for aerospace flight systems; general design methodology; application of these concepts to the initial sizing of both aircraft and spacecraft systems. Intensive technical writing.
Prerequisite: Credit or concurrent registration in AE 311, AE 323, and AE 352."
IS 597,"Credit: 2 OR 4 hours.
Course Description: Variety of newly developed and advanced topics courses within the fields of Data Analytics & Data Science, intended to augment the existing Information Sciences curricula.
"
AE 202,"Credit: 3 hours.
Course Description: Fundamental principles of aerospace flight mechanics applied to spacecraft and aircraft. Orbital mechanics, rocket propulsion, and dynamics and control applied to spacecraft design. Aerodynamics, maneuvering, stability and flight performance applied to aircraft design.
Prerequisite: Credit or concurrent registration in TAM 212."
BADM 590,"Credit: 0 TO 4 hours.
Course Description: Special topics in the general area of business. Topics are selected by the instructor at the beginning of each term.
"
GLBL 296,"Credit: 1 hours.
Course Description: Examination of current controversies and larger ethical issues in today's global society. Topics could include: immigration, global environmental debates, and population issues.
"
RST 429,"Credit: 4 hours.
Course Description: Provides a capstone experience to encourage critical and creative thinking regarding knowledge students accrued from prior courses. The first eight weeks students will meet as a whole and focus on leisure concepts in general, and the second eight weeks students will focus on their specific concentration, (Sport Management, Tourism, or Community Recreation).
Prerequisite: RST 120, or RST 130, or RST 150, and senior status."
CPSC 452/IB 478,"Credit: 3 hours.
Course Description: Survey of selected contemporary topics in plant genetics and genomics. Topics include the nature of genes and genomes, crop domestication, selection, allelic diversity in populations, and genetics mapping. Serves as an introduction to functional genomics, population genetics, transmission genetics, quantitative genetics, and bioinformatics.
Prerequisite: CPSC 352 or IB 204, or consent of instructor."
